,precision,recall,f1-score,support
0,0.9562826992994591,0.5621058118321606,0.7080296763180357,19185.0
1,0.08991441880619651,0.6273620559334845,0.15728633693386393,1323.0
accuracy,0.5663155841622781,0.5663155841622781,0.5663155841622781,0.5663155841622781
macro avg,0.5230985590528278,0.5947339338828226,0.43265800662594983,20508.0
weighted avg,0.9003920597884104,0.5663155841622781,0.6725004468463535,20508.0
