,precision,recall,f1-score,support
0,0.9355894130286161,0.998644774563461,0.9660893023724882,19185.0
1,0.13333333333333333,0.0030234315948601664,0.0059127864005912795,1323.0
accuracy,0.9344158377218647,0.9344158377218647,0.9344158377218647,0.9344158377218647
macro avg,0.5344613731809748,0.5008341030791605,0.48600104438653974,20508.0
weighted avg,0.8838347420008777,0.9344158377218647,0.9041469613040847,20508.0
